,x,y,ap1,ap2,ap3,ap4,ap5,ap6,label
359,902,1322,-52.03455511744853,-61.73531862322564,-56.538081952737365,-50.178287153785355,-36.87176814353181,-60.93786860030511,69.708
360,843,1295,-68.61025762721452,-57.46738530337039,-57.454240379556495,-55.563825737758194,-40.54117392301257,-65.93449369217785,68.122
361,781,1279,-58.37764872345609,-61.5980781477125,-54.260022701418286,-54.02321816227492,-46.31922031667037,-67.62127328010351,67.074
363,653,1273,-51.363057568612824,-55.380464774420204,-60.3157996726473,-54.0780396546348,-45.906591233771444,-57.14562965347344,66.262
364,589,1265,-60.04708483303281,-62.83851245566953,-54.040268915915846,-49.54821550422313,-48.36176048925935,-58.55251074045104,65.606
365,526,1251,-61.645494355598615,-57.66266577569325,-54.47731649991401,-51.197087869006026,-47.17985975321718,-58.30534492612355,64.654
367,402,1279,-57.48640677499412,-51.61640400144542,-58.063243357020056,-43.3490507218394,-47.134918432291414,-54.25118594282492,65.558
368,342,1302,-54.25343907785066,-53.1550309856427,-58.33260561845588,-43.38756082541286,-46.05185978919438,-63.95378617666404,66.46799999999999
369,283,1327,-52.62633710292857,-56.19474975107039,-59.66026789878261,-38.01019751706221,-51.76360938888146,-58.2038434045771,67.482
371,157,1347,-64.92586881766955,-55.264122143844716,-61.60031502375794,-32.68500515643021,-61.61264114202969,-56.59439652019191,67.978
