,ap1,ap2,ap3,ap4,ap5,ap6,x,y
188,1749,1165,-57.76508833755415,-54.82507783260344,-55.01381605198519,-63.00465388305766,-52.0993091124113,-41.01515212285069
189,1763,1102,-58.91542270242248,-54.595172194847514,-55.6217841974788,-55.23535429838442,-50.2113620667475,-46.53015513313324
190,1776,1039,-57.02012482393677,-59.21348269114074,-53.4534768677857,-55.27476481988418,-52.993798390707774,-45.289023930948886
191,1798,979,-57.19981082139852,-53.50390618011498,-52.70905534326394,-53.61360958672389,-51.22252870941162,-46.04378127317915
192,1806,915,-53.936860521600494,-61.625727717518444,-51.34733992247662,-55.73602786384397,-55.8682653034531,-49.807024570487556
193,1810,851,-60.168046501468865,-56.6266906334189,-54.9392134144408,-54.56157070279248,-59.17368758962198,-57.45712369084351
194,1816,787,-58.51456794634801,-63.073202141652146,-76.88319685068856,-59.912689444083085,-61.3246836402503,-47.37453894389682
195,1811,723,-60.91586173087849,-53.54891979121939,-49.6300781646384,-57.958394169914996,-79.34602678508843,-52.20976520805068
196,1808,659,-55.07590159890948,-60.359263771814085,-59.13253003846252,-66.70394524527164,-51.825493735040176,-63.45078542683079
197,1809,595,-53.27904079141572,-50.62227188825502,-48.026754425817984,-57.08937105741665,-56.760635136962556,-52.110951538757675
198,1806,531,-55.87801665109998,-55.06609831980221,-44.21360496211463,-62.512743944020386,-53.12219994361438,-51.83233125058248
199,1793,468,-53.34707112767326,-61.45199276298446,-44.855776653335454,-57.237404343433795,-56.19270324100161,-52.73410301818656
200,1780,405,-56.60790475365265,-49.570790635761796,-44.057049569370335,-69.4224798535218,-67.02715335012985,-52.76463202171158
201,1772,341,-56.652621979302765,-49.66938976796389,-46.19941080294522,-66.20373566975383,-54.11749164424335,-53.29975989109472
202,1777,277,-54.56236150662761,-52.020936266410764,-40.17561546260989,-54.18179591914739,-50.896768112158156,-60.0457962396426
203,1789,214,-66.38739425712696,-52.440730699537895,-40.814575346969484,-57.56793232882168,-51.16039530578667,-57.650355631668724
204,1797,150,-53.41149101893039,-62.56625658370716,-34.355463155347316,-58.29655217781544,-57.377174879005636,-55.804540845056785
205,1856,176,-57.38766185515382,-56.67208130944836,-32.64868499836137,-54.51458312222599,-54.65511829818521,-62.28112329074989
206,1829,117,-62.170421629792415,-50.82171546935022,-32.706229476988185,-78.91357061133883,-58.012390920258845,-64.67527342565634
207,1805,177,-56.11646999470913,-50.24233728127168,-35.867098067436636,-64.39946233389131,-50.71046193856233,-56.0904467065843
208,1773,232,-57.80026058239751,-49.36987070478193,-40.390714948319996,-59.27105580065973,-51.28023613681192,-66.42637376785507
209,1738,287,-55.33531075126227,-51.733234829940926,-42.34636239186919,-55.40614907477148,-51.95793093104362,-52.76963927344273
210,1696,335,-55.44575989143323,-59.69866070923565,-41.41993168009052,-54.25957322524023,-55.70604387244002,-55.099032152087936
211,1665,391,-61.02940041048136,-53.183896134171434,-48.45800709588669,-55.220135658432696,-58.40737109764411,-59.53958891748314
212,1632,446,-53.5403324436688,-51.98507050537791,-43.49812635628365,-58.51513233673469,-54.27425680113733,-53.1293243549879
213,1591,496,-65.13352350912844,-51.73642559740053,-45.277041131229446,-64.4362809754466,-54.09212385933515,-52.32167599943771
214,1572,557,-53.45442536596639,-51.0025571539048,-51.77482268017015,-55.55211710208282,-58.77023362959964,-51.31036236034308
215,1563,621,-53.32527372323945,-53.174846604290586,-52.00815308878032,-54.396547693794375,-55.42589440937314,-61.742287511860965
216,1579,683,-60.123254285694316,-54.14463701618213,-48.34738289392435,-54.81851374143513,-54.88593150290876,-62.8136664981928
217,1593,746,-56.680133006028484,-50.01775915464498,-49.37741661179266,-56.95941660927922,-49.19627882822355,-48.84313293976422
218,1618,805,-54.837994677336255,-58.75331122189144,-50.038663268175554,-56.63604511312101,-58.501042850704465,-48.76792868870914
219,1655,858,-57.625017510158614,-53.02439909975013,-49.91822141855597,-59.2849473854989,-56.6844123378816,-51.94778287427262
220,1688,913,-61.575345219150776,-57.52683642331891,-49.087352166290714,-51.09722709571866,-49.14221895144391,-48.823025910223905
221,1712,973,-55.12715533009613,-63.68006096026852,-57.305027746931415,-64.61927312964235,-50.441884734453346,-53.950014464752236
222,1747,1026,-53.25027736015416,-57.40085957831261,-57.25464291843779,-51.91353983494419,-50.43235518394597,-50.77000120395887
223,1787,1077,-59.08586259971295,-61.018637477578736,-51.18516792396407,-57.75114940176107,-49.12450238774598,-42.4741903071886
224,1837,1116,-64.44967719433113,-56.381740397594704,-53.052700982952345,-55.85727592620667,-52.25175204591814,-44.4063884170918
